index,idx,img,filename,img,text,status,lean,Unnamed: 5,Unnamed: 6,url,likely_true,favors_r,benefits_r,important,funny,surprising,reputation_overall,reputation_partyloyalty,reputation_engage,likely_share,real,num_person,biden,trump,valence,arousal,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
10,11,IM_9yIn1DPNrwj6D0p,f_death row inmate demands to be served a live cat as last meal.jpg,,death row inmate demands to be served a live cat as his last meal,new since november,Neutral,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_death row inmate demands to be served a live cat as last meal.jpg,-1.102647139,-0.03680212712,-0.08993594188,-1.785307052,0.3943259954,1.776147121,-1.935288044,-2.112571318,-1.898794074,-0.529064993,-0.5,1,0,0,-1,0,14,93.26,76.25,1,25.77,14,7.14,71.43,35.71,7.14,7.14,0,0,0,7.14,0,0,7.14,14.29,7.14,0,7.14,0,14.29,7.14,7.14,0,0,0,0,0,0,0,0,0,7.14,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,14.29,0,7.14,0,7.14,7.14,0,0,7.14,0,0,0,14.29,0,7.14,0,0,7.14,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,12,IM_3UHi4WBNfrudVIh,f_delaware judge rules that baby yoda affair doesnt count.jpg,,"delaware judge rules that man's ""affair"" with baby yoda doesnt classify as adultery",new since november,Neutral,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_delaware judge rules that baby yoda affair doesnt count.jpg,-1.103046895,-0.01269181054,-0.07065400287,-2.299973588,2.668916333,0.8046477244,-1.118030604,-2.278086935,-0.7512963308,-0.5381350974,-0.5,0,0,0,0,0,13,65.46,93.79,1,25.77,13,23.08,69.23,30.77,7.69,0,0,0,0,0,0,7.69,0,15.38,7.69,0,7.69,7.69,7.69,7.69,7.69,0,0,0,0,0,0,0,0,0,23.08,7.69,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,0,0,15.38,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.08,0,0,0,0,0,0,0,15.38,7.69,0,0
12,13,IM_5b6AZP58hpLk0mN,f_derek chauvin suicide in prison.png,,"minneapolis police officer who killer george floyd, derek chauvin on suicide watch",new since november,R-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_derek chauvin suicide in prison.png,0.6953610306,-0.6009597811,-0.621641091,-0.217396637,-0.7829559649,-0.713786565,-0.3451738263,-0.5838436381,-0.383766089,0.32321206,-0.5,2,0,0,1,1,12,93.26,79.76,1.79,1,12,33.33,58.33,16.67,8.33,0,0,0,0,0,0,8.33,0,8.33,0,0,0,0,0,0,0,8.33,0,0,8.33,0,8.33,0,8.33,0,8.33,0,0,0,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,8.33,0,8.33,0,8.33,0,8.33,0,0,0,0,16.67,0,0,0,0,0,0,8.33,0,8.33,0,0,0,0,0,0,0,0,0
13,14,IM_0IG6cXQ0zSHX8oJ,f_dictionary change the definition of racism.png,,"merriam-webster to change dictionary of ""racism"" to show only white people are racist",old pre-test recycle,R-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_dictionary change the definition of racism.png,-1.124986472,-0.548791791,-0.4895731513,0.2617397458,-0.266792884,1.283883254,-1.2348238,-0.9713214158,-0.006407408041,-0.7398115367,-0.5,0,0,0,0,1,14,97.73,76.25,1.06,99,14,21.43,71.43,35.71,0,0,0,0,0,0,0,0,0,21.43,7.14,7.14,0,0,7.14,7.14,0,0,0,0,7.14,7.14,0,0,0,0,7.14,0,0,0,0,7.14,0,7.14,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.43,0,0,0,0,0,0,7.14,14.29,0,0,0
14,15,IM_3konX8KY4s7q0At,f_dominion software deleted over 2 million votes.jpg,,"dominion software deleted over 2.7 million votes nationwide, which over...",new since november,R-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_dominion software deleted over 2 million votes.jpg,-0.5354442704,1.920133384,1.892938672,1.391462784,-0.6340364409,0.2459097297,0.365624018,0.6921140227,1.238207453,0.5783654979,-0.5,0,0,0,0,0,10,98.58,50,43.37,25.77,10,50,50,30,10,0,0,0,0,0,0,10,0,20,0,0,0,0,10,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,10,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,10,0,0,0,0,0,0,0,0,0
15,16,IM_cwEwHg0pp6cdvFP,f_donald trump jr set recor for most tinder elft swipes.jpeg,,newly divorced donald trump jr set the record for most tinder left-swipes in one day,old pre-test recycle,D-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_donald trump jr set recor for most tinder elft swipes.jpeg,-1.147006671,-0.420106956,-0.3878614871,-2.277629633,2.124639828,-0.1687974623,-0.7530044672,-0.6709599665,-1.093950439,-1.213133792,-0.5,3,0,0,1,0,16,99,73.4,74.76,25.77,16,6.25,56.25,18.75,0,0,0,0,0,0,0,0,6.25,12.5,0,0,0,0,6.25,6.25,6.25,0,6.25,6.25,0,0,0,0,0,0,6.25,6.25,0,0,0,6.25,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,25,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,6.25,0,0,0,0
16,17,IM_6W2rmKt6Dxk7IUd,f_fbi investigating whether trump spent 3 million buying votes.jpg,,fbi investigating whether trump spent $3 million in wisconsin buying votes,new since november,D-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_fbi investigating whether trump spent 3 million buying votes.jpg,-0.7409796027,-2.253888982,-2.267576955,1.119694572,-0.455883842,-0.04637276258,0.5347649098,0.1076717282,1.264144536,-0.04377202302,-0.5,1,0,1,-1,0,11,93.26,18.16,31.94,25.77,11,36.36,54.55,18.18,0,0,0,0,0,0,0,0,0,9.09,0,0,9.09,0,9.09,0,0,9.09,18.18,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,9.09,0,9.09,0,9.09,0,0,27.27,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,9.09
17,18,IM_eXUP3cLu4JvdK5v,f_flynn exposes raid of cia vote hacking facility in germany.jpg,,"gen. flynn exposes raid of vote hacking cia facility in germany: ""They committed treason""",new since november,D-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_flynn exposes raid of cia vote hacking facility in germany.jpg,-0.6814491714,0.9781482646,0.8152057587,1.014656343,-0.7276483088,0.4076279994,-0.383473191,0.1101011598,-0.4715904575,0.2855952946,-0.5,5,0,0,-1,1,14,97.73,76.25,1.06,25.77,7,42.86,28.57,21.43,7.14,7.14,0,0,0,0,7.14,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,7.14,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,7.14,0,7.14,0,0,0,0,14.29,0,0,0
18,19,IM_cZb5dODDxUG4K8d,f_ford foundation donates million to defund the police.png,,"ford foundation donates million to ""defund the police"" movement while ford motor co makes millsions from",old pre-test recycle,R-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_ford foundation donates million to defund the police.png,-0.1033808542,-0.576701002,-0.443539855,0.4623932374,-0.4804091257,0.3355720768,0.3737266663,0.5111570151,1.111452429,1.063872095,-0.5,3,0,0,-1,1,16,99,50,35.37,25.77,16,31.25,62.5,25,0,0,0,0,0,0,0,0,6.25,12.5,0,0,6.25,0,12.5,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,6.25,0,0,0,12.5,0,18.75,6.25,6.25,6.25,12.5,0,0,6.25,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0
19,20,IM_5psl7YObUSFEBKJ,f_hispanic woman claims love child with trump.jpeg,,"hispanic woman claims, ""donald trump paid me for sex in cancu, this is our love child""",old pre-test recycle,D-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_hispanic woman claims love child with trump.jpeg,-1.089437794,-1.695621859,-1.734206739,-0.8140085607,1.316312948,0.1118060453,-1.471915719,-1.357293133,-1.427225421,-1.693390353,-0.5,1,0,0,0,0,16,72.69,99,7.84,99,16,6.25,68.75,37.5,18.75,12.5,6.25,6.25,0,0,0,6.25,0,12.5,6.25,0,0,0,12.5,0,0,0,0,0,6.25,6.25,0,0,0,0,25,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,6.25,0,18.75,12.5,0,6.25,0,0,6.25,6.25,0,6.25,0,6.25,0,0,0,0,6.25,0,0,0,0,0,0,0,0,25,0,12.5,0,0,0,0,0,12.5,0,0,0
